YearMonth,Año,Month,Business,Vertical,Subvertical,Platform,Zona,Pais,Partner,Revenue LC,Revenue Jug,Revenue OP,Revenue MC,Volumen,Volumen Jug,Volumen OP,Volumen MC,Orders,Transactions,Consumer Buyers,# Rutas,Freq Visita,Bajas Hogares,Altas Hogares,Eficiencia de visita (%), Eficacia de visita (%),Share Canales CCETH,Mix Retornables,Mix Single Serve,HH/dia/ruta,DATE,YTD,ID
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,offline,Platform Name,South,MX,Partner7,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,online,Platform Name,South,MX,Partner7,,,,,,,,,,,,,,,,,,,,,,,,
202101,2021,1,PF,Direct To Consumer ,total,Platform Name,South,MX,Partner7,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner1,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,South,MX,Partner2,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner3,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner4,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,South,MX,Partner5,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,offline,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,online,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
202102,2021,2,PF,Direct To Consumer ,total,Platform Name,North,MX,Partner6,,,,,,,,,,,,,,,,,,,,,,,,
